2005-01-21-3	2005-01-21-3/data000
2005-04-06-0	2005-04-06-0/data001
2005-04-06-4	2005-04-06-4/pipeline_classification/data000
2005-04-26-0	2005-04-26-0/pipeline_classification/data002
2005-07-26-4	2005-07-26-4/pipeline_classification/data001
2006-05-04-0	2006-05-04-0/data000
2006-05-04-2	2006-05-04-2/data005-mg/data005
2006-07-14-1	2006-07-14-1/pipeline_classification/data012
2006-11-01-2	2006-11-01-2/data000
2006-11-01-4	2006-11-01-4/data000
2007-02-06-1	2007-02-06-1/kilosort_data015/data015
2007-02-06-4	2007-02-06-4/kilosort_data015/data015
2007-02-06-6	2007-02-06-6/pipeline_classification/data007
2007-03-02-0	2007-03-02-0/pipeline_classification/data015
2007-03-02-3	2007-03-02-3/pipeline_classification/data010
2007-08-21-0	2007-08-21-0/pipeline_classification/data000
2007-09-18-3	2007-09-18-3/pipeline_classification/data000
2007-09-18-6	2007-09-18-6/data000
2008-03-25-3	2008-03-25-3/pipeline_classification/data000
2008-03-25-4	2008-03-25-4/pipeline_classification/data004
2008-08-27-1	2008-08-27-1/pipeline_classification/data002
2008-08-27-6	2008-08-27-6/pipeline_classification/data000
2008-11-12-1	2008-11-12-1/kilosort_data004/data004
2009-02-28-1	2009-02-28-1/kilosort_data005/data005
2009-04-13-2	2009-04-13-2/kilosort_data004/data004
2009-04-13-3	2009-04-13-3/kilosort_data012/data012
2009-04-13-5	2009-04-13-5/pipeline_classification/data008
2010-09-24-2	2010-09-24-2/data001
2012-01-27-0	2012-01-27-0/pipeline_classification/data000
2012-04-13-4	2012-04-13-4/pipeline_classification/data000
2012-09-13-1	2012-09-13-1/pipeline_classification/data000
2012-09-24-2	2012-09-24-2/pipeline_classification/data000
2012-09-24-3	2012-09-24-3/pipeline_classification/data000
2012-09-27-3	2012-09-27-3/pipeline_classification/data003
2013-01-28-0	2013-01-28-0/kilosort_data001/data001
2013-05-28-4	2013-05-28-4/pipeline_classification/data000
2013-08-19-6	2013-08-19-6/pipeline_classification/data000
2014-09-10-2	2014-09-10-2/data000-ag/data000
2014-11-24-3	2014-11-24-3/pipeline_classification/data012
2015-03-09-0	2015-03-09-0/pipeline_classification/data000
2015-05-27-4	2015-05-27-4/pipeline_classification/data000
2015-09-23-2	2015-09-23-2/pipeline_classification/data000
2015-10-06-3	2015-10-06-3/pipeline_classification/data000
2015-11-09-3	2015-11-09-3/pipeline_classification/data000
2016-01-05-0	2016-01-05-0/pipeline_classification/data001
2016-06-13-1	2016-06-13-2/kilosort_data007/data007
2017-03-15-1	2017-03-15-1/kilosort_data000/data000
2017-04-25-0	2017-04-25-0/kilosort_data001/data001
2017-08-14-1	2017-08-14-1/data000-data--1/data000
2017-10-30-6	2017-10-30-6/data001
2017-10-30-7	2017-10-30-7/data000-ag
2018-02-06-4	2018-02-06-4/data000-ag
2018-03-01-0	2018-03-01-0/kilosort_data000/data000
2018-03-01-6	2018-03-1-6/data001-data003/data001
2018-11-12-0	2018-11-12-0/data000-ag
2018-11-12-5	2018-11-12-5/data003
2019-02-27-1	2019-02-27-1/data000
2019-11-07-0	2019-11-07-0/data000
2022-05-16-3	2022-05-16-3/data005
