2003-08-06-0	2003-08-06-0/data024-gdf/data024-cg-1
2003-08-06-3	2003-08-06-3/data002-nwpca/data002
2003-09-19-0	2003-09-19-0/data000-mg/data000-nwpca/data000
2003-09-19-3	2003-09-19-3/data000-mg/data000
2004-03-19-0	2004-03-19-0/data000-nwpca/data000
2004-07-30-0	2004-07-30-0/data003
2004-07-30-2	2004-07-30-2/data000
2005-04-06-3	2005-04-06-3/data000
2005-04-06-5	2005-04-06-5/data001
2005-04-14-0	2005-04-14-0/data003-nwpca/data003
2005-04-14-1	2005-04-14-1/data003
2005-04-14-2	2005-04-14-2/data002
2005-04-14-3	2005-04-14-3/data002
2005-04-14-4	2005-04-14-4/data000
2005-04-19-0	2005-04-19-0/data000
2005-04-19-1	2005-04-19-1/data003
2005-04-19-2	2005-04-19-2/streamed/data001
2005-04-19-3	2005-04-19-3/data001
2005-04-21-0	2005-04-21-0/data006-nwpca/data006
2005-04-21-2	2005-04-21-2/data000
2005-04-26-1	2005-04-26-1/pipeline_classification/data006
2005-04-26-2	2005-04-26-2/data002
2005-05-24-0	2005-05-24-0/data002
2005-05-24-1	2005-05-24-1/data001
2005-05-24-2	2005-05-24-2/data000
2005-05-24-3	2005-05-24-3/data001
2005-05-26-0	2005-05-26-0/pipeline_classification/data001
2005-05-26-1	2005-05-26-1/data002
2005-05-26-2	2005-05-26-2/streamed/data000
2005-05-26-3	2005-05-26-3/data008
2005-05-26-4	2005-05-26-4/streamed/data000
2005-05-26-5	2005-05-26-5/data001
2005-05-26-6	2005-05-26-6/streamed/data005
2005-05-26-7	2005-05-26-7/pipeline_classification/data006
2005-05-31-0	2005-05-31-0/data002
2005-05-31-1	2005-05-31-1/data001
2005-05-31-2	2005-05-31-2/streamed/data001
2005-05-31-3	2005-05-31-3/data002
2005-06-02-0	2005-06-02-0/data001
2005-06-02-2	2005-06-02-2/data001
2005-06-02-3	2005-06-02-3/data000
2005-06-07-0	2005-06-07-0/data010
2005-06-07-1	2005-06-07-1/data001
2005-06-07-2	2005-06-07-2/data001
2005-06-07-3	2005-06-07-3/data000
2005-06-07-4	2005-06-07-4/data001
2005-06-07-5	2005-06-07-5/data001
2005-06-14-0	2005-06-14-0/data001
2005-07-07-0	2005-07-07-0/streamed/data000
2005-07-07-2	2005-07-07-2/data008-gdf
2005-07-07-5	2005-07-07-5/data002
2005-07-07-6	2005-07-07-6/data000
2005-07-07-7	2005-07-07-7/data000
2005-07-07-8	2005-07-07-8/data000
2005-07-25-1	2005-07-25-1/data002
2005-07-26-0	2005-07-26-0/data001
2005-07-26-1	2005-07-26-1/streamed/data001
2005-07-26-2	2005-07-26-2/data014-nwpca/data014
2005-07-26-3	2005-07-26-3/data007-nwpca/data007
2005-08-03-0	2005-08-03-0/pipeline_classification/data004
2005-08-03-1	2005-08-03-1/data005-mg/data005-cg-clean
2005-08-05-3	2005-08-05-3/data000
2005-08-08-0	2005-08-08-0/data010-5dot0
2005-08-08-2	2005-08-08-2/data002
2005-09-09-0	2005-09-09-0/data005-auto-vision-4
2005-09-09-1	2005-09-09-1/data002
2005-09-09-2	2005-09-09-2/data001
2005-09-09-3	2005-09-09-3/streamed/data001
2005-09-09-4	2005-09-09-4/streamed/data001
2005-09-13-0	2005-09-13-0/data001-gdf/data001
2005-09-13-1	2005-09-13-1/data000
2005-09-13-4	2005-09-13-4/data006
2005-09-20-1	2005-09-20-1/data001
2005-09-20-2	2005-09-20-2/data007
2005-09-27-1	2005-09-27-1/data012
2005-09-27-2	2005-09-27-2/data001
2005-09-27-3	2005-09-27-3/data001
2005-09-27-4	2005-09-27-4/data005
2005-09-27-5	2005-09-27-5/data007-nwpca
2006-02-10-1	2006-02-10-1/data001
2006-04-24-0	2006-04-24-0/data008-mg/data008
